#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
80        	5         	ok              	8.3020000000e-07	8.6510000000e+02	1.2793775563e+13	6.9507664143e+12	2.6008761279e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
81        	5         	ok              	6.5790000000e-07	8.6810000000e+02	1.0103513195e+13	5.4891665368e+12	2.6008759607e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82        	5         	ok              	5.2140000000e-07	8.7210000000e+02	7.9705259733e+12	4.3303302347e+12	2.6008757103e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83        	5         	ok              	4.1320000000e-07	8.7720000000e+02	6.2797718616e+12	3.4117560220e+12	2.6008753251e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84        	5         	ok              	3.2750000000e-07	8.8340000000e+02	4.9423783128e+12	2.6851601072e+12	2.6008747215e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85        	5         	ok              	2.5950000000e-07	8.9210000000e+02	3.8779813800e+12	2.1068814517e+12	2.6008736484e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86        	5         	ok              	2.0570000000e-07	9.0430000000e+02	3.0325174509e+12	1.6475478540e+12	2.6008715597e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87        	5         	ok              	1.6300000000e-07	9.2030000000e+02	2.3612339497e+12	1.2828458078e+12	2.6008672993e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88        	5         	ok              	1.2920000000e-07	9.4110000000e+02	1.8302315593e+12	9.9435856101e+11	2.6008580950e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89        	5         	ok              	1.0240000000e-07	9.6750000000e+02	1.4109932968e+12	7.6659372482e+11	2.6008381414e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90        	5         	ok              	8.1110000000e-08	1.0096000000e+03	1.0710072970e+12	5.8189059315e+11	2.6007866556e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
91        	5         	ok              	6.4280000000e-08	1.0695000000e+03	8.0120312676e+11	4.3532274209e+11	2.6006680017e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
92        	5         	ok              	5.0940000000e-08	1.1571000000e+03	5.8675643758e+11	3.1886314403e+11	2.6002025149e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
93        	5         	ok              	4.0370000000e-08	1.2907000000e+03	4.1603750199e+11	2.2654251432e+11	2.5949942426e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
94        	5         	ok              	3.1990000000e-08	1.5077000000e+03	2.6964366431e+11	1.5367937379e+11	2.4792953896e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
95        	4         	ok              	2.5350000000e-08	1.9096000000e+03	9.9110869014e+10	9.6150563678e+10	1.4565422418e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96        	7         	ok              	2.0090000000e-08	3.0915000000e+03	4.7168496492e+10	4.7068132013e+10	1.4160503579e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
97        	1         	ok              	1.5920000000e-08	4.5220000000e+03	2.5499331498e+10	2.5499330759e+10	1.4130373691e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98        	1         	ok              	1.2620000000e-08	5.6596000000e+03	1.6150645847e+10	1.6150645845e+10	1.4130373283e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
99        	1         	ok              	1.0000000000e-08	6.0000000000e+03	1.2071605286e+10	1.2071605286e+10	1.4130373282e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
